,Total,Under 16,16-17,18-19,20-24,25-34,35-44,45 and over,North East,North West,Yorkshire & the Humber,East Midlands,West Midlands,East of England,London,South East,South West
LARCs total,45.94779016,43.03206261,37.40032487,35.25081402,40.31028477,47.08485914,56.36351901,59.06212451,53,42,52,42,47,42,44,49,48
Oral contraceptives,39.32619674,46.41504671,51.41760189,52.42319853,46.1489853,36.17431478,28.49544956,26.14230507,34,44,36,48,38,45,36,35,38
Male condom,11.03438922,8.255491038,8.125369167,9.046293238,9.958277636,12.37237626,12.01833086,11.48962427,9,11,9,7,12,9,14,11,11
Contraceptive patch,1.688577271,1.678868972,2.53248671,2.56240857,2.307287236,1.622298374,0.715161686,0.081187283,1,1,2,1,2,2,3,1,1
Natural familiy planning,1.533951004,0.555415299,0.391317188,0.509650323,0.864422571,2.087239683,1.944103789,2.79609002,3,1,2,1,2,2,1,3,1
Other methods 4,0.469095614,0.063115375,0.132900177,0.207635317,0.410742496,0.658911767,0.4634351,0.428668853,0,0,0,0,0,1,1,1,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
